city,state,latitude,longitude,source
ABBEVILLE,AL,31.564706,-85.259121,census
ABBEVILLE,SC,34.178544,-82.377687,census
ABBOTSFORD,WI,44.943493,-90.317322,census
ABBOTT,TX,31.885139,-97.074106,census
ABERDEEN,MD,39.516403,-76.174518,census
ABERDEEN,SD,45.464678,-98.468104,census
ABILENE,KS,38.924503,-97.228004,census
ABILENE,TX,32.454514,-99.738147,census
ACCIDENT,MD,39.625688,-79.319958,census
ACWORTH,GA,34.061991,-84.681121,census
ADA,OK,34.767914,-96.669114,census
ADAIRSVILLE,GA,34.370846,-84.921192,census
ADAMS,MA,42.629085,-73.118747,census
ADAMS,WI,43.955240,-89.816548,census
ADDISON,IL,41.930782,-88.008987,census
ADEL,GA,31.124811,-83.425467,census
ADRIAN,MI,41.898780,-84.044829,census
ADRIAN,MN,43.633560,-95.932804,census
AFTON,OK,36.696535,-94.957463,census
AHOSKIE,NC,36.284126,-76.990105,census
AIKEN,SC,33.531594,-81.725073,census
AINSWORTH,IA,41.290050,-91.554266,census
AKRON,OH,41.080456,-81.521429,census
ALABASTER,AL,33.214355,-86.823080,census
ALAMOGORDO,NM,32.883619,-105.963607,census
ALAMOSA,CO,37.474528,-105.876956,census
ALBANY,GA,31.578117,-84.176224,census
ALBANY,KY,36.690546,-85.135489,census
ALBANY,NY,42.665745,-73.798353,census
ALBANY,OR,44.626928,-123.096741,census
ALBERT LEA,MN,43.654293,-93.364148,census
ALBION,MI,42.247855,-84.759191,census
ALBUQUERQUE,NM,35.104780,-106.646809,census
ALBURGH,VT,44.976728,-73.302570,census
ALDA,NE,40.866580,-98.467939,census
ALDEN,MN,43.667494,-93.569804,census
ALEDO,TX,32.697387,-97.606866,census
ALEXANDER,ND,47.838058,-103.643203,census
ALEXANDRIA,LA,31.293449,-92.470189,census
ALEXANDRIA,MN,45.877178,-95.376965,census
ALEXANDRIA,MO,40.359887,-91.459398,census
ALEXANDRIA,PA,40.558438,-78.099883,census
ALGODONES,NM,35.370711,-106.488878,census
ALGONA,IA,43.076345,-94.231746,census
ALICE,TX,27.755616,-98.065812,census
ALLEN,OK,34.877628,-96.412889,census
ALLENTOWN,PA,40.593648,-75.478393,census
ALLIANCE,NE,42.102567,-102.876188,census
ALMA,AR,35.492375,-94.213947,census
ALMA,GA,31.543326,-82.475577,census
ALMA,KS,39.015681,-96.287096,census
ALMA,MI,43.380336,-84.654445,census
ALMA,NE,40.103565,-99.365693,census
ALPHARETTA,GA,34.070866,-84.272650,census
ALPINE,WY,43.160393,-111.014752,census
ALSIP,IL,41.670270,-87.737085,census
ALTAMONT,IL,39.056115,-88.746922,census
ALTOONA,AL,34.040014,-86.305179,census
ALTOONA,IA,41.646353,-93.478611,census
